"Blind Blake"
"Black Ace"
"Pink Anderson"
"Kokomo Arnold"
"Lead Belly"
"Barbecue Bob"
"Son Bonds"
"Big Bill Broonzy"
"Gabriel Brown"
"Kitty Brown"
"King Solomon Hill"
"Rabbit Brown"
"Willie Brown"
"Gus Cannon"
"Alice Leslie Carter"
"Sam Collins"
"Martha Copeland"
"Elizabeth Cotten"
"Floyd Council"
"Ida Cox"
"Arthur ""Big Boy"" Crudup"
"Reverend Gary Davis"
"Madlyn Davis"
"Mattie Delaney"
"Little Buddy Doyle"
"Archie Edwards"
"Sleepy John Estes"
"William Ezell"
"Blind Boy Fuller"
"Jesse Fuller"
"Jazz Gillum"
"Lillian Glinn"
"Ida Goodson"
"Coot Grant"
"Arvella Gray"
"Shirley Griffith"
"Hattie Hart"
"Silas Hogan"
"Smokey Hogg"
"Lightnin' Hopkins"
"Son House"
"Peg Leg Howell"
"Alberta Hunter"
"Mississippi John Hurt"
"Jim Jackson"
"John Jackson"
"Skip James"
"Blind Lemon Jefferson"
"Blind Willie Johnson"
"Lonnie Johnson"
"Mary Johnson"
"Robert Johnson"
"Tommy Johnson"
"Lottie Kimbrough"
"Rubin Lacey"
"Furry Lewis"
"Charley Lincoln"
"Mance Lipscomb"
"Virginia Liston"
"Robert Lockwood, Jr."
"Cripple Clarence Lofton"
"Eddie Mapp"
"Mississippi Fred McDowell"
"Brownie McGhee"
"Blind Willie McTell"
"Big Maceo Merriweather"
"Hazel Meyers"
"Memphis Minnie"
"Buddy Moss"
"Charlie Patton"
"Buster Pickens"
"Joe Pullum"
"Ma Rainey"
"Bull City Red"
"Piano Red"
"Tampa Red"
"Walter Roland"
"Washboard Sam"
"Dan Sane"
"Irene Scruggs"
"Alec Seward"
"Robert Shaw"
"Henry ""Son"" Sims"
"Bumble Bee Slim"
"Bessie Smith"
"Laura Smith"
"Charlie Spand"
"Victoria Spivey"
"Freddie Spruell"
"Frank Stokes"
"Baby Tate"
"Sonny Terry"
"Henry Thomas"
"Ramblin' Thomas"
"Henry Townsend"
"Bessie Tucker"
"Sippie Wallace"
"Curley Weaver"
"Sylvester Weaver"
"Casey Bill Weldon"
"Peetie Wheatstraw"
"Bukka White"
"Josh White"
"Sonny Boy Williamson II"
"Ralph Willis"
"Wesley Wilson"


"Ora Alexander"
"Gladys Bentley"
"Lucille Bogan"
"Bessie Brown"
"Reverend Gary Davis"
"Georgia Tom Dorsey"
"Lil Green"
"Lucille Hegamin"
"Alberta Hunter"
"Papa Charlie Jackson"
"Edith North Johnson"
"James ""Stump"" Johnson"
"Maggie Jones"
"Whistlin' Alex Moore"
"Ma Rainey"
"Bessie Smith"
"Clara Smith"
"Mamie Smith"
"Ruby Smith"
"Charlie Spand"
"Walter Vinson"
"Sippie Wallace"
"Ethel Waters"
"Jabo Williams"
"Oscar ""Buddy"" Woods"

"Albert Ammons"
"Louis Armstrong"
"Sidney Bechet"
"Leroy Carr"
"Walter Davis"
"Johnny Dodds"
"Champion Jack Dupree"
"Ivory Joe Hunter"
"St. Louis Jimmy Oden"
"Meade Lux Lewis"
"Little Brother Montgomery"
"Big Maceo Merriweather"
"Kansas Joe McCoy"
"Speckled Red"
"Papa Charlie McCoy"
"Jay McShann"
"Roy Milton"
"Jelly Roll Morton"
"Jimmy Rushing"
"Roosevelt Sykes"
"Big Joe Turner"
"Sam Taylor"
"T-Bone Walker"

"Mose Allison"
"Buster Benton"
"Charles Brown"
"Roy Brown"
"George ""Mojo"" Buford"
"Carolina Slim"
"Good Rockin' Charles"
"Ray Charles"
"Gary B.B. Coleman"
"Pee Wee Crayton"
"James Crutchfield"
"Larry Davis"
"Little Sammy Davis"
"Floyd Dixon"
"Champion Jack Dupree"
"Bob Gaddy"
"Terry Garland"
"Clarence Garlow"
"Larry Garner"
"James Harman"
"Wynonie Harris"
"Duke Henderson"
"Louis Jordan"
"Booker T. Laury"
"Little Willie Littlefield"
"Willie Love"
"Percy Mayfield"
"Amos Milburn"
"Dave Peabody"
"Pinetop Perkins"
"Piano Red"
"J.D. Short"
"Frankie Lee Sims"
"Memphis Slim"
"Smoky Babe"
"Houston Stackhouse"
"Lonesome Sundown"
"Lavelle White"
"Joe Willie Wilkins"
"Lester Williams"
"Smokey Wilson"
"U.P. Wilson"
"Jimmy Witherspoon"

"Scrapper Blackwell"
"Walter Brown"
"Jay McShann"
"Arnold Moore"
"Jimmy Rushing"
"Big Joe Turner"

"Little Hatch"
"Lee McBee"

"Muddy Waters"
"Luther Allison"
"John Henry Barbee"
"Lefty Bates"
"Carey Bell"
"Eddie ""Guitar"" Burns"
"Paul Butterfield"
"Eddie Boyd"
"David Riley"
"James Cotton"
"Blind John Davis"
"Bo Diddley"
"Willie Dixon"
"Lefty Dizz"
"David ""Honeyboy"" Edwards"
"Leroy Foster"
"Calvin Frazier"
"Buddy Guy"
"Phil Guy"
"Shakey Jake Harris"
"Earl Hooker"
"John Lee Hooker"
"Big Walter Horton"
"J. B. Hutto"
"Elmore James"
"Bobo Jenkins"
"L.V. Johnson"
"Floyd Jones"
"Moody Jones"
"Albert King"
"Eddie King"
"Freddie King"
"Bonnie Lee"
"Hip Linkchain"
"James Montgomery (singer)"
"Nick Moss"
"Charlie Musselwhite"
"Robert Nighthawk"
"Odie Payne"
"Pinetop Perkins"
"Snooky Pryor"
"Boogie Woogie Red"
"Jimmy Reed"
"Soko Richardson"
"Junior Parker"
"Jimmy Rogers"
"Otis Rush"
"Magic Sam"
